,Route,Sh,Amount,Shipping Type Code,Shipping Type Description,Weight,Vol,Vehicle Pallet Capacity (Pallet floor space),MoT,Vehicle Classification,Temp,Truck Size,Truck Type Short Form,Unnamed: 10,Truck Type,Weight Tons,Case Capacity,Pallet,Loose Case Loading/Unloading  Time (hr),Loose Case Loadiong /Unloading producivity (case/hr),Pallet Unloading producivity (Pallets/Hr)
1021,IDA102,GG,5000.0,GG,EXTRA JUMBO 30T 60M3,32000,65000000,30.0,Land,Articulated Truck 7.5t-33t,Ambient,Large,Jumbo,,,,,,,,
1041,IDA103,GG,5000.0,GG,EXTRA JUMBO 30T 60M3,32000,65000000,30.0,Land,Articulated Truck 7.5t-33t,Ambient,Large,Jumbo,,,,,,,,
1057,IDA104,GG,5000.0,GG,EXTRA JUMBO 30T 60M3,32000,65000000,30.0,Land,Articulated Truck 7.5t-33t,Ambient,Large,Jumbo,,,,,,,,
1080,IDA105,GG,5000.0,GG,EXTRA JUMBO 30T 60M3,32000,65000000,30.0,Land,Articulated Truck 7.5t-33t,Ambient,Large,Jumbo,,,,,,,,
1096,IDA106,GG,5000.0,GG,EXTRA JUMBO 30T 60M3,32000,65000000,30.0,Land,Articulated Truck 7.5t-33t,Ambient,Large,Jumbo,,,,,,,,
1117,IDA107,GG,5000.0,GG,EXTRA JUMBO 30T 60M3,32000,65000000,30.0,Land,Articulated Truck 7.5t-33t,Ambient,Large,Jumbo,,,,,,,,
1139,IDA108,GG,5000.0,GG,EXTRA JUMBO 30T 60M3,32000,65000000,30.0,Land,Articulated Truck 7.5t-33t,Ambient,Large,Jumbo,,,,,,,,
1159,IDA109,GG,5000.0,GG,EXTRA JUMBO 30T 60M3,32000,65000000,30.0,Land,Articulated Truck 7.5t-33t,Ambient,Large,Jumbo,,,,,,,,
1180,IDA110,GG,5000.0,GG,EXTRA JUMBO 30T 60M3,32000,65000000,30.0,Land,Articulated Truck 7.5t-33t,Ambient,Large,Jumbo,,,,,,,,
1266,IDA149,GG,5000.0,GG,EXTRA JUMBO 30T 60M3,32000,65000000,30.0,Land,Articulated Truck 7.5t-33t,Ambient,Large,Jumbo,,,,,,,,
1289,IDA150,GG,5000.0,GG,EXTRA JUMBO 30T 60M3,32000,65000000,30.0,Land,Articulated Truck 7.5t-33t,Ambient,Large,Jumbo,,,,,,,,
1312,IDA151,GG,5000.0,GG,EXTRA JUMBO 30T 60M3,32000,65000000,30.0,Land,Articulated Truck 7.5t-33t,Ambient,Large,Jumbo,,,,,,,,
1334,IDA152,GG,5000.0,GG,EXTRA JUMBO 30T 60M3,32000,65000000,30.0,Land,Articulated Truck 7.5t-33t,Ambient,Large,Jumbo,,,,,,,,
1357,IDA153,GG,5000.0,GG,EXTRA JUMBO 30T 60M3,32000,65000000,30.0,Land,Articulated Truck 7.5t-33t,Ambient,Large,Jumbo,,,,,,,,
1379,IDA154,GG,5000.0,GG,EXTRA JUMBO 30T 60M3,32000,65000000,30.0,Land,Articulated Truck 7.5t-33t,Ambient,Large,Jumbo,,,,,,,,
1402,IDA155,GG,5000.0,GG,EXTRA JUMBO 30T 60M3,32000,65000000,30.0,Land,Articulated Truck 7.5t-33t,Ambient,Large,Jumbo,,,,,,,,
1423,IDA156,GG,5000.0,GG,EXTRA JUMBO 30T 60M3,32000,65000000,30.0,Land,Articulated Truck 7.5t-33t,Ambient,Large,Jumbo,,,,,,,,
1445,IDA157,GG,5000.0,GG,EXTRA JUMBO 30T 60M3,32000,65000000,30.0,Land,Articulated Truck 7.5t-33t,Ambient,Large,Jumbo,,,,,,,,
1467,IDA159,GG,5000.0,GG,EXTRA JUMBO 30T 60M3,32000,65000000,30.0,Land,Articulated Truck 7.5t-33t,Ambient,Large,Jumbo,,,,,,,,
1489,IDA160,GG,5000.0,GG,EXTRA JUMBO 30T 60M3,32000,65000000,30.0,Land,Articulated Truck 7.5t-33t,Ambient,Large,Jumbo,,,,,,,,
1512,IDA161,GG,5000.0,GG,EXTRA JUMBO 30T 60M3,32000,65000000,30.0,Land,Articulated Truck 7.5t-33t,Ambient,Large,Jumbo,,,,,,,,
1515,IDA162,9F,5000.0,9F,CONTAINER 26T 55M3,26000,55000000,20.0,Sea,Container Ocean 40'-45',Ambient,Large,40ft Container,,,,,,,,
1516,IDA162,GG,5000.0,GG,EXTRA JUMBO 30T 60M3,32000,65000000,30.0,Land,Articulated Truck 7.5t-33t,Ambient,Large,Jumbo,,,,,,,,
1517,IDA162,GI,5000.0,GI,"CONTAINER 40""",26000,55000000,16.0,Sea,Container Ocean 40'-45',Ambient,Large,40ft Container,,,,,% Vol,,,
1518,IDA163,9F,5000.0,9F,CONTAINER 26T 55M3,26000,55000000,20.0,Sea,Container Ocean 40'-45',Ambient,Large,40ft Container,,,,,,,,
1519,IDA163,GG,5000.0,GG,EXTRA JUMBO 30T 60M3,32000,65000000,30.0,Land,Articulated Truck 7.5t-33t,Ambient,Large,Jumbo,,,,,,,,
1520,IDA163,GI,5000.0,GI,"CONTAINER 40""",26000,55000000,16.0,Sea,Container Ocean 40'-45',Ambient,Large,40ft Container,,,,,% Vol,,,
1550,IDA165,GG,5000.0,GG,EXTRA JUMBO 30T 60M3,32000,65000000,30.0,Land,Articulated Truck 7.5t-33t,Ambient,Large,Jumbo,,,,,,,,
1552,IDA166,9F,5000.0,9F,CONTAINER 26T 55M3,26000,55000000,20.0,Sea,Container Ocean 40'-45',Ambient,Large,40ft Container,,,,,,,,
