Index,Route,MoT,Temp,BaseCost,Volume,Check in Date,Weight,OldShipmentCount,netVol,netWeight,New_SH,New_BC,NewShipmentCount,Savings
1855,IDA159,Land,Ambient,4018142,78356159.14,2017-04-15,31764.0,2,0.0,0.0,"GG,GG",10000.0,2.0,"4,008,142"
1856,IDA157,Land,Ambient,4016334,79997763.31,2017-04-10,32164.0,2,0.0,0.0,"GG,GG",10000.0,2.0,"4,006,334"
1857,IDA046,Land,Ambient,6101394,40576953.36,2017-02-14,17175.0,6,0.0,0.0,"GF,9S",2103257.333333333,2.0,"3,998,137"
1858,IDJ301,Land,Ambient,7200000,83994785.38,2017-04-25,33172.0,3,0.0,0.0,"9Q,9Q,9Q",3204402.0,3.0,"3,995,598"
1859,IDJ301,Land,Ambient,7200000,83987342.92,2017-04-26,39461.0,3,0.0,0.0,"9Q,9Q,9Q",3204402.0,3.0,"3,995,598"
1860,IDJ301,Land,Ambient,7200000,78912523.62,2017-04-28,33553.0,3,0.0,0.0,"9Q,9Q,9Q",3204402.0,3.0,"3,995,598"
1861,IDA016,Land,Ambient,6713492,32628058.770999998,2017-02-24,13787.0,5,0.0,0.0,GF,2722070.4,1.0,"3,991,422"
1862,IDA155,Land,Ambient,4001213,116974890.6,2017-03-01,48651.0,3,0.0,0.0,"GG,GG",10000.0,2.0,"3,991,213"
1863,IDA149,Land,Ambient,4001213,113288838.53999999,2017-03-14,40386.0,3,0.0,0.0,"GG,GG",10000.0,2.0,"3,991,213"
1864,IDA150,Land,Ambient,4000000,79795824.87,2017-04-25,30631.0,2,0.0,0.0,"GG,GG",10000.0,2.0,"3,990,000"
1865,IDA046,Land,Ambient,7342110,82756314.70400001,2017-02-08,38792.0,6,0.0,0.0,"GF,GF,9S",3368620.6666666665,3.0,"3,973,489"
1866,IDA435,Land,Ambient,6060336,31837055.917,2017-02-18,13544.0,6,0.0,0.0,GF,2107222.75,1.0,"3,953,113"
1867,IDA170,Land,Ambient,18000000,114990070.64000002,2017-03-24,45462.0,3,0.0,0.0,"9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S,9S",14049366.0,23.0,"3,950,634"
1868,IDA009,Land,Ambient,9215608,119143824.46200001,2017-02-05,53502.0,6,0.0,0.0,"GF,GF,GF",5268966.0,3.0,"3,946,642"
1869,IDA091,Land,Ambient,3956070,69444927.00999999,2017-02-04,24257.0,2,0.0,0.0,"GG,GG",10000.0,2.0,"3,946,070"
1870,IDA091,Land,Ambient,3956070,69324952.74,2017-02-17,21568.0,2,0.0,0.0,"GG,GG",10000.0,2.0,"3,946,070"
1871,IDA091,Land,Ambient,3956070,69700446.98,2017-03-08,23050.0,2,0.0,0.0,"GG,GG",10000.0,2.0,"3,946,070"
1872,IDA091,Land,Ambient,3956070,66545561.81999999,2017-04-07,22936.0,2,0.0,0.0,"GG,GG",10000.0,2.0,"3,946,070"
1873,IDA091,Land,Ambient,3956070,68875888.23,2017-04-09,26469.0,2,0.0,0.0,"GG,GG",10000.0,2.0,"3,946,070"
1874,IDA065,Land,Ambient,7479089,57053576.835,2017-04-07,20525.0,4,0.0,0.0,"GF,GF",3538429.0,2.0,"3,940,660"
1875,IDA087,Land,Ambient,22900000,179997946.29999998,2017-04-28,75723.0,3,0.0,0.0,"9M,9M,9M",18977256.333333332,3.0,"3,922,744"
1876,IDA061,Land,Ambient,10406219,124488685.12799999,2017-02-05,46648.0,5,0.0,0.0,"GF,GF,GF,GB",6494659.5,4.0,"3,911,560"
1877,IDA002,Land,Ambient,12978932,149007135.176,2017-04-10,56930.0,7,0.0,0.0,"9M,9M,9H",9081720.0,3.0,"3,897,212"
